label,longestPosEdge,longestPosCount,longestNegCount,longestNegEdge,bin_0_norm_Ngon_1,bin_1_norm_Ngon_1,bin_2_norm_Ngon_1,bin_3_norm_Ngon_1,bin_4_norm_Ngon_1,bin_5_norm_Ngon_1,bin_6_norm_Ngon_1,bin_7_norm_Ngon_1,bin_8_norm_Ngon_1,bin_9_norm_Ngon_1,bin_0_norm_Ngon_2,bin_1_norm_Ngon_2,bin_2_norm_Ngon_2,bin_3_norm_Ngon_2,bin_4_norm_Ngon_2,bin_5_norm_Ngon_2,bin_6_norm_Ngon_2,bin_7_norm_Ngon_2,bin_8_norm_Ngon_2,bin_9_norm_Ngon_2,bin_0_norm_Ngon_3,bin_1_norm_Ngon_3,bin_2_norm_Ngon_3,bin_3_norm_Ngon_3,bin_4_norm_Ngon_3,bin_5_norm_Ngon_3,bin_6_norm_Ngon_3,bin_7_norm_Ngon_3,bin_8_norm_Ngon_3,bin_9_norm_Ngon_3,bin_0_norm_Ngon_4,bin_1_norm_Ngon_4,bin_2_norm_Ngon_4,bin_3_norm_Ngon_4,bin_4_norm_Ngon_4,bin_5_norm_Ngon_4,bin_6_norm_Ngon_4,bin_7_norm_Ngon_4,bin_8_norm_Ngon_4,bin_9_norm_Ngon_4,bin_0_norm_Ngon_5,bin_1_norm_Ngon_5,bin_2_norm_Ngon_5,bin_3_norm_Ngon_5,bin_4_norm_Ngon_5,bin_5_norm_Ngon_5,bin_6_norm_Ngon_5,bin_7_norm_Ngon_5,bin_8_norm_Ngon_5,bin_9_norm_Ngon_5,bin_0_norm_X,bin_1_norm_X,bin_2_norm_X,bin_3_norm_X,bin_4_norm_X,bin_5_norm_X,bin_6_norm_X,bin_7_norm_X,bin_8_norm_X,bin_9_norm_X,bin_0_norm_Y,bin_1_norm_Y,bin_2_norm_Y,bin_3_norm_Y,bin_4_norm_Y,bin_5_norm_Y,bin_6_norm_Y,bin_7_norm_Y,bin_8_norm_Y,bin_9_norm_Y,bin_0_norm_Z,bin_1_norm_Z,bin_2_norm_Z,bin_3_norm_Z,bin_4_norm_Z,bin_5_norm_Z,bin_6_norm_Z,bin_7_norm_Z,bin_8_norm_Z,bin_9_norm_Z
5,-1,0,0,-1,0,0,0,0,7,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,0,0,0,0,0,5,1,0,1,3,0,0,0,0,4,6,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0
6,-1,0,5,5,0,0,0,2,4,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,3,3,1,3,0,0,0,0,0,0,2,4,1,3,0,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1,-1,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0
5,-1,0,0,-1,0,0,0,3,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,1,0,3,3,0,0,0,0,0,3,0,1,2,4,0,0,0,0,7,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0
6,-1,0,4,0,0,0,0,1,2,7,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,1,6,2,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,2,1,3,1,0,0,0,0,0,3,3,3,1,0,0,0,0
1,-1,0,3,7,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
4,-1,0,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
1,-1,0,0,-1,0,0,0,1,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
6,-1,0,3,0,0,0,0,0,2,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,3,1,1,5,0,0,0,0,0,0,5,2,1,2,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
6,-1,0,0,-1,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,1,0,0,0,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0
4,-1,0,5,5,0,0,0,3,6,1,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0
3,-1,0,0,-1,0,0,0,0,4,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,2,6,2,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0
1,-1,0,0,-1,0,0,0,3,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,10,0,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
3,-1,0,0,-1,0,0,0,0,5,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0
6,-1,0,3,0,0,0,0,0,2,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,3,2,4,1,0,0,0,0,0,0,6,1,3,0,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
6,-1,0,4,0,0,0,0,0,3,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,2,4,1,0,0,0,0,0,0,5,1,3,1,0,0,0,0
1,-1,0,0,-1,1,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
3,-1,0,3,0,0,0,0,0,2,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,9,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
3,-1,0,0,-1,0,0,0,0,3,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,1,0,7,0,0,0,0,0,0,1,1,1,1,6,0,0,0,0,0,2,1,7,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0
4,-1,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
6,-1,0,0,-1,0,0,0,0,1,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,2,1,3,3,0,0,0,0,0,2,6,1,1,0,0,0,0
6,-1,0,7,0,0,0,0,6,2,2,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,2,1,2,5,0,0,0,0
4,-1,0,9,1,0,0,0,0,10,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
3,-1,0,4,0,0,0,0,1,5,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,6,2,0,0,0,0,0,1,0,1,5,3,0,0,0,0,0,1,5,4,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0
1,-1,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,1,3,4,2,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
3,-1,0,5,5,0,0,0,0,1,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,10,0,0,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
5,-1,0,7,3,0,0,0,0,4,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,1,0,5,2,0,0,0,0,0,1,2,0,3,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,-1,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
6,-1,0,4,0,0,0,0,0,4,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,2,1,3,4,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,3,2,1,3,1,0,0,0,0,0,2,3,1,4,0,0,0,0
6,-1,0,0,-1,0,0,0,0,4,6,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,5,3,2,0,0,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
6,-1,0,0,-1,0,0,0,0,1,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,1,0,0,0,0,0,0
4,-1,0,6,4,0,0,0,2,8,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,1,3,2,4,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0
1,-1,0,0,-1,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
6,-1,0,0,-1,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,7,3,0,0,0,0,0,0
1,-1,0,8,2,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0
5,-1,0,7,0,0,0,0,3,6,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,1,0,1,3,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0
5,-1,0,0,-1,0,0,0,4,2,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,1,1,1,4,0,0,0,0,0,0,3,2,1,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0
1,-1,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1,-1,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
5,-1,0,7,3,0,0,0,0,3,5,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,5,3,0,0,0,0,0,1,1,0,1,7,0,0,0,0,1,9,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0
1,-1,0,6,4,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
3,-1,0,0,-1,0,0,0,0,6,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,1,7,0,0,0,0,0,0,1,0,2,2,5,0,0,0,0,0,2,3,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
